iter	likelihood	#indels	#substs	rs07:mean_length	rs07:rate	P1/#indels	P1/#substs	P1/likelihood	P1/prior_A	P1/|A|	P1/|indels|	f:pi[A]	f:pi[C]	f:pi[D]	f:pi[E]	f:pi[F]	f:pi[G]	f:pi[H]	f:pi[I]	f:pi[K]	f:pi[L]	f:pi[M]	f:pi[N]	f:pi[P]	f:pi[Q]	f:pi[R]	f:pi[S]	f:pi[T]	f:pi[V]	f:pi[W]	f:pi[Y]	sigma	prior_A	scale	scale*|T|	scale1	scale1*|T|	|A|	|T|	|indels|	posterior	prior
10	-9.956157143076186E4	2395	14892	7.506076280831487E0	1.8345769037881855E-2	2395	14892	-9.956157143076186E4	-1.6779487112721577E4	13435	23647	6.0051163309698175E-2	6.105169338599669E-2	9.190385266433856E-3	3.331738237996753E-2	4.555941946806564E-2	1.6800298965639424E-3	2.5386710597355335E-2	3.811924570897959E-2	1.0197034286587327E-1	9.342222353205784E-2	2.9498219382160826E-2	3.7563418317106356E-2	8.579338110420802E-2	5.8653593670096225E-2	4.498103553840107E-2	7.520596213396899E-2	6.0401165494961905E-2	7.135408970448258E-2	1.543089892897819E-2	5.136963931464415E-2	2.0144311822999215E0	-1.6779487112721577E4	2.2935538367918394E2	3.483107362645655E2	2.2935538367918394E2	3.483107362645655E2	13435	1.5186507971915455E0	23647	-1.1633398713573864E5	-1.6772415704976782E4
11	-9.683625882883684E4	2509	15705	7.5146663022146445E0	1.728800960712314E-2	2509	15705	-9.683625882883684E4	-1.7596620547463983E4	12234	21398	5.861802863737831E-2	3.196492552183079E-2	4.2847267685549216E-2	3.252225547071149E-2	4.2743898741938326E-2	1.6399356009233635E-3	2.4780850974193892E-2	3.720952123908917E-2	7.206087678578968E-2	1.2662804778295503E-1	2.839048410161755E-2	3.6666958794357926E-2	8.374590254859884E-2	5.725381231513286E-2	4.390755289336922E-2	7.341115474042165E-2	5.895967794087517E-2	8.14425200220545E-2	1.506263701594693E-2	5.0143691187266366E-2	2.006521575105161E0	-1.7596620547463983E4	2.1282146193374436E2	3.452483051637939E2	2.1282146193374436E2	3.452483051637939E2	12234	1.6222438377539041E0	21398	-1.144486170485733E5	-1.7612358219736467E4
12	-9.620084513337885E4	2419	15816	7.048441118163521E0	1.6249122028996043E-2	2419	15816	-9.620084513337885E4	-1.7236105912274295E4	11838	20575	5.726318037314887E-2	3.12261148714866E-2	4.208937419965787E-2	3.1770563160383215E-2	4.175595188730824E-2	1.6020314960940466E-3	2.4208087036051044E-2	3.634949137395238E-2	7.039532173213808E-2	1.2370127261276274E-1	2.7734290111477412E-2	3.581946926542091E-2	8.181026954725382E-2	5.593049541009773E-2	6.414441901110528E-2	7.171439048738913E-2	5.759693307936025E-2	7.956012548489001E-2	1.6343507163305158E-2	4.8984711696717545E-2	2.013076462198476E0	-1.7236105912274295E4	2.115336027173373E2	3.428024292746934E2	2.115336027173373E2	3.428024292746934E2	11838	1.6205577973007186E0	20575	-1.1342755451630708E5	-1.7226709382928228E4
13	-9.555536248840728E4	2497	16343	6.893302943181829E0	1.63131350660519E-2	2497	16343	-9.555536248840728E4	-1.7741619794177834E4	11068	19338	5.5123529058367024E-2	2.860694813212961E-2	3.855902502116444E-2	2.9105729489502824E-2	3.82535693205518E-2	7.616810583435979E-2	2.2177574541966134E-2	3.330058890270276E-2	6.449074199027881E-2	1.1332552589637157E-1	2.5408008712122496E-2	3.281502369454147E-2	7.494823314541961E-2	5.1239188345585135E-2	5.8764149019763026E-2	6.569917062827872E-2	5.276584948054273E-2	7.288682541836873E-2	1.4972655536622028E-2	5.1389557831361614E-2	1.9951042544168733E0	-1.7741619794177834E4	2.2346603761171465E2	3.375631727650198E2	2.2346603761171465E2	3.375631727650198E2	11068	1.5105793093783477E0	19338	-1.1326506568563412E5	-1.7709703197226838E4
14	-9.620619199144194E4	2491	17128	5.817636001049145E0	1.7921496573781618E-2	2491	17128	-9.620619199144194E4	-1.7221243266272642E4	10703	18777	5.438996192644372E-2	2.8226255581183805E-2	3.804589326277168E-2	2.871839930820143E-2	3.9140396081039974E-2	7.515448388570371E-2	2.188244213611927E-2	3.285743481024894E-2	6.363251884227748E-2	1.118174243211354E-1	2.5069886672455938E-2	3.2378331355955685E-2	7.395084489088696E-2	5.055731283654525E-2	5.798213362646887E-2	6.482486608009758E-2	6.220277812890252E-2	7.191686974988216E-2	1.654608525266645E-2	5.0705681251013456E-2	1.8922126478109127E0	-1.7221243266272642E4	2.1638671468534707E2	3.4623257924588376E2	2.1638671468534707E2	3.4623257924588376E2	10703	1.6000639399204732E0	18777	-1.1342306947973205E5	-1.721687748829011E4
15	-9.602412320643094E4	2423	17248	5.862399705558957E0	1.8521610330857863E-2	2423	17248	-9.602412320643094E4	-1.681259248452531E4	10428	18413	5.2797740872844834E-2	2.739995534472834E-2	3.6932131272316794E-2	2.7877691972056987E-2	4.03796816753299E-2	6.295798950777658E-2	2.1241851780119243E-2	7.098172225894787E-2	6.1769729595776035E-2	1.0854406190539977E-1	2.4335986519607777E-2	3.143048254269352E-2	7.178599520178561E-2	4.846976645214205E-2	5.6284754723768024E-2	6.292717185650082E-2	6.038184335672672E-2	6.981156299714808E-2	1.4468565703905333E-2	4.922131446042583E-2	1.8734790732274502E0	-1.681259248452531E4	2.267437152254729E2	3.669314120650423E2	2.267437152254729E2	3.669314120650423E2	10428	1.6182649724168425E0	18413	-1.1287934203629618E5	-1.685521882986523E4
16	-9.57307020575379E4	2322	17825	6.022420953054652E0	1.6307968587524622E-2	2322	17825	-9.57307020575379E4	-1.6165705867230025E4	9752	17210	5.360903064592255E-2	1.906734580844823E-2	3.749963018238105E-2	2.8306060421540647E-2	4.10001556244374E-2	6.392540160111225E-2	1.890951128163146E-2	7.207242698214457E-2	6.271888289435218E-2	1.1021194931679955E-1	2.4709933144117038E-2	3.191344315101189E-2	7.288905837825134E-2	4.9214552595943005E-2	4.60858407725487E-2	6.389411040598979E-2	6.0333452528453305E-2	7.897067577976093E-2	1.469088959868998E-2	4.99776488864642E-2	1.8455663030346425E0	-1.6165705867230025E4	2.2853564717808518E2	3.875220535129644E2	2.2853564717808518E2	3.875220535129644E2	9752	1.6956744310920997E0	17210	-1.1195419714881736E5	-1.6223495091279454E4
17	-9.559976103284776E4	2163	18326	6.0060082795634475E0	1.533312976954048E-2	2163	18326	-9.559976103284776E4	-1.5124991041734442E4	8929	15668	6.360533583060055E-2	1.9344054370578262E-2	3.80438311871993E-2	2.8716842779898038E-2	4.159515684924966E-2	6.485309789079674E-2	1.9183929322290454E-2	7.311835428843041E-2	4.7840905148884554E-2	1.0735870562274996E-1	2.506852789240174E-2	3.274303170140542E-2	7.394683677811238E-2	4.992876254532475E-2	4.6754646324345804E-2	6.482135259253392E-2	6.120902184288257E-2	8.011671164468831E-2	1.4904086284694562E-2	4.684680910293253E-2	1.8432995315049692E0	-1.5124991041734442E4	2.4634117523066553E2	3.960724311083462E2	2.4634117523066553E2	3.960724311083462E2	8929	1.6078206606649392E0	15668	-1.1076197693797396E5	-1.5162215905126204E4
18	-9.546538959037428E4	2141	18665	5.758500121026257E0	1.4748011069294584E-2	2141	18665	-9.546538959037428E4	-1.5009346778580051E4	8502	15167	6.038510659471018E-2	1.8364698022383018E-2	3.61177371601105E-2	7.020994609321789E-2	3.9489265285149816E-2	6.156969659845532E-2	1.821267983109331E-2	6.941649721802855E-2	5.2924717850012765E-2	1.0192331819716544E-1	2.4007398280042096E-2	3.1085308075240334E-2	7.0203035057944E-2	4.740095479522511E-2	4.438753864318586E-2	6.153955851028319E-2	5.807745076665126E-2	7.606053972526418E-2	1.414951791772564E-2	4.4475035378111455E-2	1.857073955806935E0	-1.5009346778580051E4	2.4060103350095068E2	3.9114635553080745E2	2.4060103350095068E2	3.9114635553080745E2	8502	1.6257052176347444E0	15167	-1.1053060064002135E5	-1.506521104964707E4
19	-9.545339499621684E4	2047	19000	5.988111485035882E0	1.4303578700319404E-2	2047	19000	-9.545339499621684E4	-1.4264183609309595E4	7930	14008	5.989711065741235E-2	1.8216285631811706E-2	3.582585543641294E-2	6.964255174080994E-2	3.9170136908754476E-2	6.1072127520663246E-2	1.8065495959670646E-2	6.8855515039903E-2	5.249701226580663E-2	1.043498235124416E-1	2.8661358874343873E-2	3.0834095402019722E-2	6.96356965563464E-2	4.701788892569936E-2	4.401205917122221E-2	6.1042232990305534E-2	5.760810390910636E-2	7.544586441097301E-2	1.4035170065283861E-2	4.4115615021013056E-2	1.818182603324933E0	-1.4264183609309595E4	2.3483120467170684E2	4.0529354643409096E2	2.3483120467170684E2	4.0529354643409096E2	7930	1.7258930600841138E0	14008	-1.0980594331439101E5	-1.435254831817418E4
20	-9.540448571432235E4	1982	19082	5.764775862849527E0	1.44808704425048E-2	1982	19082	-9.540448571432235E4	-1.3970309723283946E4	7766	13980	5.989711065741235E-2	1.8216285631811706E-2	3.582585543641294E-2	6.964255174080994E-2	3.9170136908754476E-2	6.1072127520663246E-2	1.8065495959670646E-2	6.8855515039903E-2	5.249701226580663E-2	1.043498235124416E-1	2.8661358874343873E-2	3.0834095402019722E-2	6.96356965563464E-2	4.701788892569936E-2	4.401205917122221E-2	6.1042232990305534E-2	5.760810390910636E-2	7.544586441097301E-2	1.4035170065283861E-2	4.4115615021013056E-2	1.76730179057712E0	-1.3970309723283946E4	2.613994846146709E2	3.89142103418373E2	2.613994846146709E2	3.89142103418373E2	7766	1.488687339961697E0	13980	-1.0939303048657143E5	-1.398854477224908E4
21	-9.532966728180542E4	1868	19415	5.810393125469382E0	1.3140318413378413E-2	1868	19415	-9.532966728180542E4	-1.330928863477083E4	7293	13072	6.214228162336014E-2	1.830135770079252E-2	3.581649521459182E-2	6.962435623020616E-2	3.6838457216685175E-2	6.105617120493212E-2	1.9500437746089533E-2	6.883752515839062E-2	5.2483296370574875E-2	1.0311496227604947E-1	2.8653870520653765E-2	3.0826039377422385E-2	6.961750283679678E-2	4.700560456111003E-2	4.400056013982077E-2	6.1026284485118834E-2	5.759305263887946E-2	7.542615266877536E-2	1.4031503096177112E-2	4.4104088933573087E-2	1.7260013240241474E0	-1.330928863477083E4	2.3897811222269112E2	4.130492328611882E2	2.3897811222269112E2	4.130492328611882E2	7293	1.7283977558425492E0	13072	-1.0871687065766413E5	-1.3387203375858711E4
22	-9.522133283587448E4	1814	19740	5.9740799864487695E0	1.3056879745903844E-2	1814	19740	-9.522133283587448E4	-1.2810478483429068E4	6838	12208	6.66821001788558E-2	1.963836756123492E-2	3.8433077440418906E-2	4.248934879638836E-2	3.952969910963287E-2	6.551664371612284E-2	2.0964680440771995E-2	5.557965131834866E-2	5.6317475555703905E-2	1.1064804936041668E-1	3.0747185566033973E-2	3.3078042713995316E-2	5.382331610066778E-2	4.873310278150127E-2	4.7215031095130366E-2	6.548457361517795E-2	6.1800526233465596E-2	8.093642745287073E-2	1.5056577754742171E-2	4.732612320851993E-2	1.702696975671881E0	-1.2810478483429068E4	2.3103607011432894E2	4.07809051651632E2	2.3103607011432894E2	4.07809051651632E2	6838	1.765131528812044E0	12208	-1.0813993888377654E5	-1.2918606047902069E4
23	-9.518818028987519E4	1645	19941	5.9422486518237925E0	1.277860087932278E-2	1645	19941	-9.518818028987519E4	-1.1891899239208504E4	6494	11590	6.486869899745291E-2	1.9104307613500106E-2	5.098810927124608E-2	4.133386276493847E-2	3.845469992883864E-2	7.204824898825613E-2	2.0394551782900408E-2	5.406817814800283E-2	5.478593746028674E-2	1.076390064104808E-1	2.9911024400133268E-2	3.217849453577111E-2	5.764080716929458E-2	4.7407819595753256E-2	4.593103144697543E-2	6.370373883584564E-2	6.0119878098771395E-2	7.873538380295726E-2	1.4647118307377742E-2	4.603910244121721E-2	1.6423486308540276E0	-1.1891899239208504E4	2.5275793471202581E2	4.132361753948272E2	2.5275793471202581E2	4.132361753948272E2	6494	1.6349088144973125E0	11590	-1.0716047609591212E5	-1.1972295806036933E4
24	-9.513220455333596E4	1548	20305	5.841951208262345E0	1.3176560777074204E-2	1548	20305	-9.513220455333596E4	-1.125021103258421E4	5965	10616	6.376058031608457E-2	1.8777958534694654E-2	5.011710557787254E-2	5.125234061516335E-2	3.7797798032606175E-2	7.771908895567013E-2	2.0046162125360745E-2	5.527586450738841E-2	5.385005741776569E-2	1.0580026452586147E-1	2.6223992742903823E-2	3.1628805834063106E-2	5.665615885322532E-2	4.6597976152784604E-2	4.862999526740745E-2	5.9733032594296374E-2	5.909288108676947E-2	7.739038766421569E-2	1.4396909105166753E-2	4.5252640090699785E-2	1.6385279664536627E0	-1.125021103258421E4	2.585605549104491E2	4.041545897486884E2	2.585605549104491E2	4.041545897486884E2	5965	1.5630945326856407E0	10616	-1.0644146843957956E5	-1.1309263886243605E4
