iter	likelihood	#indels	#substs	rs07:mean_length	rs07:rate	P1/#indels	P1/#substs	P1/likelihood	P1/prior_A	P1/|A|	P1/|indels|	f:pi[A]	f:pi[C]	f:pi[D]	f:pi[E]	f:pi[F]	f:pi[G]	f:pi[H]	f:pi[I]	f:pi[K]	f:pi[L]	f:pi[M]	f:pi[N]	f:pi[P]	f:pi[Q]	f:pi[R]	f:pi[S]	f:pi[T]	f:pi[V]	f:pi[W]	f:pi[Y]	sigma	prior_A	scale	scale*|T|	scale1	scale1*|T|	|A|	|T|	|indels|	posterior	prior
20	-5.971464826331001E3	57	771	1.9389843465415715E0	4.0106382084604084E-2	57	771	-5.971464826331001E3	-5.464575506886798E2	188	122	6.77359035181629E-2	9.716135059504843E-3	6.632881678058146E-2	4.815574860184757E-2	2.4797403094965566E-2	1.1424102228463821E-1	1.8721738943627837E-2	3.555552079869385E-2	4.737512764089125E-2	9.516144364956934E-2	2.3935339047604958E-2	4.1151122505807464E-2	8.02570495360464E-2	4.043110907429352E-2	3.571250577268465E-2	5.492628465875296E-2	5.636477697208664E-2	6.352704841915423E-2	2.7279328127502046E-2	4.862657551358434E-2	3.223099922352149E-2	-5.464575506886798E2	5.034173312141417E0	4.527239675391637E0	5.034173312141417E0	4.527239675391637E0	188	8.993015128169787E-1	122	-6.098596469090028E3	-1.2713164275902705E2
21	-5.993366490838104E3	58	767	2.1301629731954526E0	3.603226966705639E-2	58	767	-5.993366490838104E3	-5.439727054100844E2	188	122	6.661241350079249E-2	1.6520756904920265E-2	6.522866516753044E-2	8.270088200993143E-2	2.3651565837061593E-2	1.1234618304215926E-1	1.8411214011966732E-2	3.49657852137979E-2	4.658934816188986E-2	9.358306458579585E-2	2.353833962653501E-2	4.0468576427028655E-2	7.892587966461811E-2	3.976050537556227E-2	3.512016638327744E-2	5.4015259201053E-2	5.048662614634534E-2	4.242786543039031E-2	2.6826864201578288E-2	4.7820039107765645E-2	1.0899255011511556E-1	-5.439727054100844E2	4.260786103706203E0	4.6552132738425005E0	4.260786103706203E0	4.6552132738425005E0	188	1.0925714552516985E0	122	-6.180444857919254E3	-1.8707836708114996E2
22	-5.988918850757916E3	58	770	1.7775653234617377E0	3.913864699370274E-2	58	770	-5.988918850757916E3	-5.4990931185821E2	188	122	6.483059091027285E-2	1.6078841407213218E-2	6.348385660953451E-2	8.04887072503509E-2	2.179584168051289E-2	1.0934102294687476E-1	1.791873047441973E-2	3.403048167629042E-2	4.5343124692874555E-2	9.10798011577706E-2	2.2908710056223996E-2	3.93860781373819E-2	7.681468284750567E-2	3.8696947354386356E-2	3.418073328731571E-2	5.257039924148908E-2	4.913615397068086E-2	6.926513100937688E-2	2.6109269534833387E-2	4.654089575469174E-2	1.505019503296371E-1	-5.4990931185821E2	4.5416804815981635E0	4.64695758485221E0	4.5416804815981635E0	4.64695758485221E0	188	1.0231802091055513E0	122	-6.184354667435627E3	-1.9543581667771105E2
23	-5.9924317462703475E3	59	770	2.3106147413583855E0	4.5136819961115904E-2	59	770	-5.9924317462703475E3	-5.63080049047763E2	189	124	8.852908921614966E-2	1.5647207367869603E-2	6.177964218465739E-2	7.832800020982814E-2	2.1210735642883012E-2	1.0640577990259982E-1	1.7437704894360608E-2	3.311693859848156E-2	4.5531876949468565E-2	8.863477782053529E-2	2.2293729237190377E-2	3.832876489137185E-2	7.475260443036963E-2	3.765813371888724E-2	3.3263156727980275E-2	5.115915491114008E-2	4.781710142957798E-2	6.740571915711309E-2	2.540837018591789E-2	4.529151252361791E-2	2.038170960411865E-2	-5.63080049047763E2	5.970760908460895E0	4.981680987675979E0	5.970760908460895E0	4.981680987675979E0	189	8.343460848711367E-1	124	-6.128446416475473E3	-1.360146702051254E2
24	-5.952016381214908E3	57	770	1.84926890190469E0	3.6930872050052896E-2	57	770	-5.952016381214908E3	-5.484741129595131E2	183	119	6.896950571878442E-2	1.594416232896326E-2	6.295210515584525E-2	7.981452030942213E-2	2.161327604702784E-2	1.0842516416001052E-1	2.3226276869478597E-2	3.3745436641732844E-2	4.639598748562819E-2	9.031690143406197E-2	2.2716822850166744E-2	3.90561737266671E-2	7.617127015252605E-2	3.517673544945525E-2	3.389442972000904E-2	5.213006074111058E-2	4.872458128593812E-2	6.868495462956506E-2	2.589057390461506E-2	4.61510613889919E-2	6.44109492824707E-2	-5.484741129595131E2	4.631807107865234E0	4.592783277440861E0	4.631807107865234E0	4.592783277440861E0	183	9.915748152901042E-1	119	-6.124639306162555E3	-1.726229249476478E2
25	-5.98219991981081E3	57	771	2.335833857741677E0	3.7021310367217175E-2	57	771	-5.98219991981081E3	-5.364525854009977E2	183	117	6.952858286560594E-2	1.6073408097661123E-2	6.346240435213704E-2	8.046150876938678E-2	2.1788476500908247E-2	1.0434348796467867E-1	2.3414552549696183E-2	3.584653139380868E-2	4.677208031153875E-2	9.104902376895878E-2	2.2900968819774034E-2	3.937276892254834E-2	6.724112339426946E-2	3.546188333741845E-2	3.4169183045605865E-2	5.259828911420417E-2	5.36483860461267E-2	6.924172516262404E-2	2.6100446775781966E-2	4.652516880726668E-2	3.5621129854892665E-2	-5.364525854009977E2	4.67105646776776E0	4.4814587585899215E0	4.67105646776776E0	4.4814587585899215E0	183	9.594101012295309E-1	117	-6.145184111834814E3	-1.629841920240042E2
26	-5.973586397458647E3	56	771	2.2366975022567557E0	3.520711370891981E-2	56	771	-5.973586397458647E3	-5.249418398712071E2	181	115	6.9122140264495E-2	1.597944792291459E-2	6.309142275529514E-2	7.999115566328718E-2	2.166110780305356E-2	1.0373352819116613E-1	2.32776783139514E-2	3.589099955119607E-2	4.5322919281172616E-2	9.051677932323494E-2	2.2767096835743218E-2	2.737493278395377E-2	8.538314854368884E-2	3.525458413024471E-2	3.396944056470796E-2	5.2290815776470746E-2	5.333477416636007E-2	6.883695944296449E-2	2.594787163271869E-2	4.625319705338091E-2	5.2798187861133085E-2	-5.249418398712071E2	4.513563368596896E0	4.680736165389355E0	4.513563368596896E0	4.680736165389355E0	181	1.0370378752086575E0	115	-6.144178057223307E3	-1.705916597646601E2
27	-5.969803444211382E3	56	773	1.9276765449518858E0	3.3481225846955516E-2	56	773	-5.969803444211382E3	-5.331274701794812E2	181	117	6.533891240352407E-2	1.5104852715741053E-2	6.542166639723383E-2	7.56130393668499E-2	2.7330424446697428E-2	9.80559323807943E-2	2.2003632678224836E-2	3.307472425744315E-2	4.935223728196356E-2	8.556256928126207E-2	2.1520996603128617E-2	3.594617335555329E-2	8.070991497204516E-2	3.332501244166385E-2	5.209448806504086E-2	4.942880846070398E-2	5.679795128841958E-2	6.506934024262388E-2	2.452767962885185E-2	4.372164373223453E-2	7.052285965257214E-2	-5.331274701794812E2	4.707653123509279E0	4.935846537562671E0	4.707653123509279E0	4.935846537562671E0	181	1.0484728606943936E0	117	-6.170868884476532E3	-2.010654402651502E2
28	-5.955859839179776E3	56	771	2.273933124643797E0	3.8419736457491464E-2	56	771	-5.955859839179776E3	-5.343713979889267E2	181	115	6.548009332796255E-2	1.5137490496069338E-2	6.556302613219889E-2	7.57764200905982E-2	2.7389478606718497E-2	9.82678065407849E-2	2.2051176983574318E-2	3.3146190401804033E-2	3.728579159030045E-2	8.574744843189526E-2	2.156749805354307E-2	3.602384397781619E-2	8.088430875957459E-2	3.339701939571875E-2	6.221938656367379E-2	4.953561165983403E-2	5.692067734819216E-2	6.520993868955424E-2	2.4580677763607228E-2	4.3816115186579595E-2	8.918917563407883E-2	-5.343713979889267E2	5.015887099901192E0	4.773275514523524E0	5.015887099901192E0	4.773275514523524E0	181	9.516313703746546E-1	115	-6.125718059235823E3	-1.6985822005604678E2
29	-5.972888094361145E3	58	773	2.0912203497338613E0	3.754027683149108E-2	58	773	-5.972888094361145E3	-5.486753534266071E2	182	120	6.552709681013978E-2	1.5148356619322652E-2	6.561008914591293E-2	7.583081457035779E-2	2.7409139557155553E-2	9.833834598046166E-2	2.2067005948556748E-2	3.6765882832636244E-2	3.7312556396998285E-2	8.580900040073448E-2	2.1582979819967714E-2	3.604970292245584E-2	8.287484858620818E-2	3.342099273060813E-2	6.2264049417356304E-2	4.957116973743373E-2	5.696153663698168E-2	6.525674824701198E-2	2.4598322476533634E-2	3.7601361163166785E-2	6.44958864754078E-2	-5.486753534266071E2	4.276077071250952E0	4.737387531619169E0	4.276077071250952E0	4.737387531619169E0	182	1.1078816992026905E0	120	-6.187974800995083E3	-2.1508670663393787E2
