state	Tree Length	Tree Height	Treeness	CCD1 information content (log(p))	CCD0 information content (log(p))	CCD1 expected RF distance	CCD0 expected RF distance	CCD1 RF distance	CCD0 RF distance
18	2.322793	0.6497390000000001	0.23883488541596262	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
19	2.322793	0.6497390000000001	0.23883488541596262	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
20	2.322793	0.6497390000000001	0.23883488541596262	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
21	2.4190433000000002	0.6497390000000001	0.18954365140962956	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
22	2.4190433000000002	0.6497390000000001	0.18954365140962956	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
23	2.2877633	0.584099	0.17172856125456684	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
24	2.2877633	0.584099	0.17172856125456684	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
25	2.2877633	0.584099	0.17172856125456684	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
26	2.2877633	0.584099	0.17172856125456684	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
27	2.2877633	0.584099	0.17172856125456684	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
28	2.2877633	0.584099	0.17172856125456684	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
29	2.2877633	0.584099	0.17172856125456684	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
30	2.2877633	0.584099	0.17172856125456684	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
31	2.2877633	0.584099	0.17172856125456684	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
32	2.2877633	0.584099	0.17172856125456684	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
33	2.2877633	0.584099	0.17172856125456684	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
34	2.2877633	0.584099	0.17172856125456684	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
35	2.2877633	0.584099	0.17172856125456684	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
36	2.2877633	0.584099	0.17172856125456684	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
37	2.2877633	0.584099	0.17172856125456684	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
38	2.2877633	0.584099	0.17172856125456684	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
39	2.2877633	0.584099	0.17172856125456684	Infinity	1.2876734882394356	1.0	0.724088050644822	1	1
